"";"mean";"sd";"5.5%";"94.5%";"rhat";"ess_bulk"
"aT";-0,105615036071658;0,137203472796303;-0,32135751;0,11496909;1,03319918020104;416,554538666032
"aA";0,046041025114826;0,140637946228503;-0,175727575;0,271719645;1,02849865206144;503,99190151955
"b_age_T";-0,04019178046222;0,0208078680860904;-0,073807867;-0,00776648094999996;1,01219414452518;1402,83897184238
"b_dist_T";-0,0337139421086;0,0149578009681088;-0,0578173475;-0,00990953174999999;1,00680838171913;1809,74309631817
"b_FA_T";-0,02876713172332;0,0142208499454063;-0,05228583;-0,00633796734999999;1,00578499241287;2212,13352279985
"b_sshd_T";-0,10314353094;0,0228608053387615;-0,14018584;-0,0681795335;1,00692855304325;1633,00648206319
"b_L_T";-0,0009278173338554;0,0165071696814719;-0,0270499955;0,0250447165;1,00717845327575;1760,51668099154
"b_age_A";-0,0784402043108;0,0238968750192759;-0,117122355;-0,040946785;1,01769702130767;969,53094807718
"b_dist_A";-0,072683048276;0,0161662783796737;-0,098293486;-0,0470587035;1,00852062397863;1507,76918757906
"b_FA_A";-0,006505681425892;0,0181081012719571;-0,0356694535;0,021591451;1,01678434785682;1040,93136230498
"b_sshd_A";-0,09517317456;0,0250343646028077;-0,135409685;-0,055117668;1,01597748186606;989,763791586061
"b_L_A";0,02663919047668;0,0166873216870349;-0,00033891827;0,0532773835;1,0075895114109;1502,51744171417
"a_group_T[1]";0,1911047557038;0,163483000289653;-0,0807426445;0,44562751;1,05447413923679;261,193134936381
"a_group_T[2]";0,13219803940448;0,165553871580449;-0,131978695;0,39777799;1,03413999153945;417,538819082883
"a_group_T[3]";-0,36895500142282;0,217343621359592;-0,71064306;-0,0245796409999999;1,03384671088492;652,759974667832
"a_group_T[4]";-0,00705479582526;0,223629411681621;-0,35402622;0,34943646;1,03460202432447;574,402009629125
"a_group_T[5]";0,2288682452175;0,149715111677475;-0,0108025715;0,46090677;1,04011952908168;351,083815161065
"a_group_T[6]";0,1861163360139;0,150555111015603;-0,0547080785;0,42069565;1,03746095167904;403,450745328859
"a_group_T[7]";0,1541688756186;0,136223250722559;-0,06749226;0,368562495;1,0339223405359;418,661291844983
"a_group_T[8]";0,16866179286618;0,165437831919773;-0,095842019;0,43425775;1,03800022480271;503,910052325929
"a_group_T[9]";0,04994089580604;0,17978756270124;-0,241099375;0,33516463;1,06344277255875;243,293277950251
"a_group_T[10]";-0,288556937643;0,160519446944955;-0,546077625;-0,0298868364999999;1,03387356870608;458,477770227596
"a_group_T[11]";-0,20374524698894;0,159390643987047;-0,46577352;0,044356847;1,05920822226973;283,154847463685
"a_group_T[12]";-0,21293459117056;0,160963975194922;-0,464505785;0,0420505555;1,04934315193274;296,754697172021
"a_group_T[13]";-0,2149309030154;0,158336999012409;-0,4682061;0,0388877225;1,03642892886815;451,237334369257
"a_group_A[1]";0,1921700579802;0,171267354123417;-0,081043999;0,4623196;1,03930411020544;454,361371000549
"a_group_A[2]";0,1431791684376;0,170373968168749;-0,12731092;0,415872225;1,03739329552924;469,333943510821
"a_group_A[3]";-0,474998778165;0,234178577665869;-0,842266855;-0,0986710449999999;1,03875303782519;407,228609274651
"a_group_A[4]";0,04344676604902;0,219594330669126;-0,311821415;0,39429456;1,02128029815945;732,308830086023
"a_group_A[5]";0,10898273560478;0,151889284957328;-0,130485355;0,363577805;1,06594980015287;215,862768426421
"a_group_A[6]";0,15743568654994;0,150817362100635;-0,082097553;0,40367219;1,03299636681617;431,553765144764
"a_group_A[7]";-0,08723152071044;0,14152215512887;-0,314536015;0,137816625;1,02811056247258;481,212515674461
"a_group_A[8]";0,19519041013;0,170973471246132;-0,079759158;0,46114823;1,03893436525892;384,542526659446
"a_group_A[9]";0,217360655698765;0,181024310011757;-0,0708552285;0,509620885;1,04683007422631;350,064135979713
"a_group_A[10]";-0,2647892189414;0,162354317509876;-0,529330875;-0,00792054659999998;1,04371378383188;391,803972356059
"a_group_A[11]";-0,1207750792671;0,159602899646291;-0,376023605;0,13496039;1,05631638048436;333,414368093783
"a_group_A[12]";-0,0430577904413;0,168918740398236;-0,313975775;0,231423575;1,0583729265;296,131120631181
"a_group_A[13]";-0,06851189626412;0,164836777018262;-0,327496365;0,19710778;1,04701983755151;295,38025757094
"z_rNV_T[1]";0,35643962726554;0,354146898237324;-0,2175105;0,905420575;1,02673757093147;915,864150656659
"z_rNV_T[2]";0,2937338674992;0,207569391526236;-0,031384603;0,623873245;1,03858978483692;385,173839027617
"z_rNV_T[3]";-0,95158772114;0,210181543557861;-1,2788833;-0,61406467;1,0438349103107;310,51130336959
"z_rNV_T[4]";0,33716786883198;0,209931870824304;0,00503922574999999;0,666980855;1,04572008720168;284,073069846283
"z_rNV_T[5]";0,7514260992;0,204386827775546;0,4219637;1,0777999;1,04448983312604;337,525570626675
"z_rNV_T[6]";-0,8975966374;0,204689778689691;-1,22008135;-0,56853681;1,04300077909576;360,314624821759
"z_rNV_T[7]";0,7227754992142;0,206839425560775;0,39886968;1,06642;1,04099676835261;331,718545431664
"z_rNV_T[8]";0,112185313375;0,206842622884726;-0,217289135;0,44320152;1,04409254457864;337,397176907338
"z_rNV_T[9]";0,22166463075616;0,204966102708941;-0,105327055;0,546093205;1,04357030143458;358,182324877985
"z_rNV_T[10]";-0,437187182418;0,204673943513299;-0,771309715;-0,10767539;1,04286419372768;327,920454493162
"z_rNV_T[11]";-0,3157902293076;0,20759714623403;-0,660972795;0,0117933325;1,04315587178226;386,582270362022
"z_rNV_T[12]";-1,0560312984;0,208059723924533;-1,38815825;-0,72837838;1,04699074735318;314,949386916319
"z_rNV_T[13]";0,3318051170322;0,208690331554201;0,0036356843;0,667974025;1,04868142124698;256,711551661165
"z_rNV_T[14]";0,72408019502;0,20043833312662;0,400871765;1,04699915;1,04477233147549;322,31187085586
"z_rNV_T[15]";0,4952671849034;0,207882287001888;0,168209875;0,835081055;1,04186133597313;327,331764050867
"z_rNV_T[16]";0,492500016084;0,203649589752853;0,166392805;0,81374721;1,0390447491433;392,29363740429
"z_rNV_T[17]";0,32729901047448;0,205201545520922;-0,00282348025;0,65217552;1,04631353164143;299,084890651923
"z_rNV_T[18]";-1,182780354;0,204341384952719;-1,50782165;-0,851434445;1,04613880394814;324,703574512624
"z_rNV_T[19]";0,12405388638046;0,203743820765398;-0,20618225;0,452566;1,04051448161649;386,142311025164
"z_rNV_T[20]";0,2193213601262;0,198147893720787;-0,0937019985;0,53791392;1,04255791619073;388,752749421754
"z_rNV_T[21]";0,2277790939136;0,3582454675481;-0,34708364;0,799043165000001;1,01954685952882;859,238772934474
"z_rNV_T[22]";0,955098622258;0,354462759167279;0,387523765;1,51198345;1,02949120920922;624,48471495523
"z_rNV_T[23]";0,35402431654334;0,3591201436335;-0,21999814;0,92944957;1,02176719277063;832,65888885061
"z_rNV_T[24]";0,3024426822482;0,351492317457512;-0,2539515;0,860056245;1,02683199023118;819,430435516378
"z_rNV_T[25]";1,2875206624;0,359601484131862;0,72152464;1,8610059;1,02418014205061;806,57714128814
"z_rNV_T[26]";0,50277047547926;0,359159512165183;-0,068421962;1,08195975;1,0199815688844;834,122683089931
"z_rNV_T[27]";-0,2658583594;0,361530150222587;-0,840041655;0,310043335;1,02290151397396;819,790254802005
"z_rNV_T[28]";-0,922581741412;0,352019528221795;-1,48610815;-0,38232687;1,02659106176144;871,122480802063
"z_rNV_T[29]";0,78187605312;0,204348899330761;0,45669497;1,1080642;1,04080171112304;337,224516561052
"z_rNV_T[30]";0,532695631754;0,209443335365229;0,199777085;0,87111842;1,04907001847037;261,650034215493
"z_rNV_T[31]";0,4356875592104;0,200606611276739;0,11956019;0,758630595;1,04066468458468;354,929325134198
"z_rNV_T[32]";-2,073923551;0,352037257104065;-2,6377943;-1,5245634;1,02636644078547;872,469637662132
"z_rNV_T[33]";0,441616472567958;0,35377174583736;-0,120581575;1,0100948;1,02914676297941;844,103804441559
"z_rNV_T[34]";-0,10904535515262;0,356441282117484;-0,6859;0,46084789;1,01803873418494;869,313117840946
"z_rNV_T[35]";-0,2846970039464;0,352735344671339;-0,846488195;0,272644505;1,02809866797756;678,711797549361
"z_rNV_T[36]";0,55391700874;0,208519959236155;0,216851495;0,89277141;1,04901465358503;263,047248344316
"z_rNV_T[37]";0,0529357420886;0,203568127993637;-0,27044541;0,37673272;1,03975491998066;388,243983220913
"z_rNV_T[38]";0,519162418950342;0,199073728187904;0,201252275;0,830368275;1,04158046995385;352,084567938651
"z_rNV_T[39]";1,1050052904;0,206432045840533;0,77980279;1,43948025;1,04025352132046;414,127837771774
"z_rNV_T[40]";-0,582964604346;0,208907372690932;-0,917902465;-0,251771735;1,04596582835175;271,455777481119
"z_rNV_T[41]";0,65664457152;0,20687222328733;0,33341535;0,990880225;1,04650628622538;288,49422534453
